,ListingId_1,ListingId_2,ids,uns_label,label,pred_label
0,10584731,10119487,"(10584731, 10119487)",0.0,,0.0
1,11430214,10584731,"(11430214, 10584731)",1.0,,0.0
2,11430214,11217131,"(11430214, 11217131)",0.0,,0.0
3,12058561,1041309,"(12058561, 1041309)",0.0,,0.0
4,12059101,11347669,"(12059101, 11347669)",0.0,,0.0
5,12840460,1145140,"(12840460, 1145140)",1.0,,0.0
6,13196981,12558413,"(13196981, 12558413)",1.0,,0.0
7,137026,12613621,"(137026, 12613621)",0.0,,0.0
8,13709435,11942440,"(13709435, 11942440)",0.0,,0.0
9,14022661,13709435,"(14022661, 13709435)",0.0,,0.0
10,14292407,1279735,"(14292407, 1279735)",0.0,,0.0
11,1454784,1250364,"(1454784, 1250364)",0.0,,0.0
12,14583283,13691198,"(14583283, 13691198)",0.0,,0.0
13,1484957,10008030,"(1484957, 10008030)",0.0,,0.0
14,1484957,13610296,"(1484957, 13610296)",0.0,,0.0
15,1484957,1454784,"(1484957, 1454784)",0.0,,0.0
16,15239518,1279735,"(15239518, 1279735)",0.0,,0.0
17,15239518,14292407,"(15239518, 14292407)",0.0,,0.0
18,15249058,10119487,"(15249058, 10119487)",0.0,,0.0
19,15249058,10584731,"(15249058, 10584731)",0.0,,0.0
20,15595655,13196981,"(15595655, 13196981)",0.0,,0.0
21,15642871,13610296,"(15642871, 13610296)",0.0,,0.0
22,15642871,1484957,"(15642871, 1484957)",0.0,,0.0
23,15669848,12898795,"(15669848, 12898795)",1.0,,0.0
24,15922851,1113862,"(15922851, 1113862)",0.0,,0.0
25,1601408,10119487,"(1601408, 10119487)",0.0,,0.0
26,1601408,10584731,"(1601408, 10584731)",0.0,,0.0
27,1601408,11430214,"(1601408, 11430214)",0.0,,0.0
28,1601408,15249058,"(1601408, 15249058)",0.0,,0.0
29,16081933,13952479,"(16081933, 13952479)",0.0,,0.0
30,16084127,15959684,"(16084127, 15959684)",0.0,,0.0
31,16208749,137026,"(16208749, 137026)",0.0,,0.0
32,16270813,1145140,"(16270813, 1145140)",0.0,,0.0
33,16270813,11708784,"(16270813, 11708784)",0.0,,0.0
34,16270813,12840460,"(16270813, 12840460)",0.0,,0.0
35,1630438,11175840,"(1630438, 11175840)",0.0,,0.0
36,1630603,1057494,"(1630603, 1057494)",1.0,,1.0
37,16553990,1113862,"(16553990, 1113862)",0.0,,0.0
38,16553990,15922851,"(16553990, 15922851)",0.0,,0.0
39,16610138,11708784,"(16610138, 11708784)",0.0,,0.0
40,16614928,10905722,"(16614928, 10905722)",0.0,,0.0
41,16614928,12613621,"(16614928, 12613621)",0.0,,0.0
42,1681041,12840460,"(1681041, 12840460)",0.0,,0.0
43,17042462,11306432,"(17042462, 11306432)",0.0,,0.0
44,1731246,1250364,"(1731246, 1250364)",0.0,,0.0
45,1731246,1454784,"(1731246, 1454784)",0.0,,0.0
46,1731246,16610138,"(1731246, 16610138)",0.0,,0.0
47,17390004,10119487,"(17390004, 10119487)",0.0,,0.0
48,17390004,10584731,"(17390004, 10584731)",1.0,,0.0
49,17390004,15249058,"(17390004, 15249058)",0.0,0.0,0.0
50,17390004,1601408,"(17390004, 1601408)",0.0,,0.0
51,17536444,11217131,"(17536444, 11217131)",0.0,,0.0
52,17536444,11430214,"(17536444, 11430214)",0.0,,0.0
53,17554758,10119487,"(17554758, 10119487)",0.0,,0.0
54,17554758,10584731,"(17554758, 10584731)",0.0,,0.0
55,17554758,11430214,"(17554758, 11430214)",0.0,,0.0
56,17554758,15249058,"(17554758, 15249058)",0.0,,0.0
57,17554758,1601408,"(17554758, 1601408)",0.0,,0.0
58,17554758,17390004,"(17554758, 17390004)",0.0,,0.0
59,17900191,11942440,"(17900191, 11942440)",0.0,,0.0
60,17900191,13709435,"(17900191, 13709435)",0.0,,0.0
61,179528,11317473,"(179528, 11317473)",0.0,,0.0
62,179528,1630438,"(179528, 1630438)",0.0,,0.0
63,18062995,1279735,"(18062995, 1279735)",0.0,,0.0
64,18062995,15239518,"(18062995, 15239518)",0.0,,0.0
65,18062995,17042462,"(18062995, 17042462)",0.0,,0.0
66,18105155,10111606,"(18105155, 10111606)",0.0,1.0,1.0
67,18105155,11942440,"(18105155, 11942440)",0.0,,0.0
68,18105155,13709435,"(18105155, 13709435)",0.0,,0.0
69,18116541,13610296,"(18116541, 13610296)",0.0,,0.0
70,18116541,15642871,"(18116541, 15642871)",0.0,,0.0
71,18298091,13135409,"(18298091, 13135409)",0.0,,0.0
72,18516556,17874135,"(18516556, 17874135)",0.0,,0.0
73,18523486,11306432,"(18523486, 11306432)",0.0,,0.0
74,18523486,15286319,"(18523486, 15286319)",0.0,,0.0
75,18589514,1145140,"(18589514, 1145140)",0.0,,0.0
76,18589514,16270813,"(18589514, 16270813)",0.0,,0.0
77,18589514,1681041,"(18589514, 1681041)",0.0,,0.0
